Type,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Cumulative_PnL
SELL,2024-03-26 13:15:00+05:30,1442.525024,2024-03-27 09:15:00+05:30,1475.050049,-3252.502441,-800.012207
BUY,2024-03-27 09:15:00+05:30,1475.050049,2024-04-02 13:15:00+05:30,1478.125,307.4951172,-492.5170898
SELL,2024-04-02 13:15:00+05:30,1478.125,2024-04-02 14:15:00+05:30,1488.275024,-1015.002441,-1507.519531
BUY,2024-04-02 14:15:00+05:30,1488.275024,2024-04-03 10:15:00+05:30,1476.949951,-1132.507324,-2640.026855
SELL,2024-04-03 10:15:00+05:30,1476.949951,2024-04-08 10:15:00+05:30,1482.349976,-540.0024414,-3180.029297
BUY,2024-04-08 10:15:00+05:30,1482.349976,2024-04-09 14:15:00+05:30,1464.5,-1784.997559,-4965.026855
SELL,2024-04-09 14:15:00+05:30,1464.5,2024-04-10 11:15:00+05:30,1477.900024,-1340.002441,-6305.029297
BUY,2024-04-10 11:15:00+05:30,1477.900024,2024-04-12 14:15:00+05:30,1464.125,-1377.502441,-7682.531738
SELL,2024-04-12 14:15:00+05:30,1464.125,2024-04-18 12:15:00+05:30,1476.974976,-1284.997559,-8967.529297
BUY,2024-04-18 12:15:00+05:30,1476.974976,2024-04-18 14:15:00+05:30,1460.449951,-1652.502441,-10620.03174
SELL,2024-04-18 14:15:00+05:30,1460.449951,2024-04-19 15:15:00+05:30,1471.525024,-1107.507324,-11727.53906
BUY,2024-04-19 15:15:00+05:30,1471.525024,2024-04-23 14:15:00+05:30,1458.925049,-1259.997559,-12987.53662
SELL,2024-04-23 14:15:00+05:30,1458.925049,2024-04-29 11:15:00+05:30,1463.324951,-439.9902344,-13427.52686
BUY,2024-04-29 11:15:00+05:30,1463.324951,2024-05-03 10:15:00+05:30,1453.074951,-1025,-14452.52686
SELL,2024-05-03 10:15:00+05:30,1453.074951,2024-05-14 10:15:00+05:30,1413.474976,3959.997559,-10492.5293
BUY,2024-05-14 10:15:00+05:30,1413.474976,2024-05-16 13:15:00+05:30,1400.949951,-1252.502441,-11745.03174
SELL,2024-05-16 13:15:00+05:30,1400.949951,2024-05-16 14:15:00+05:30,1424.525024,-2357.507324,-14102.53906
BUY,2024-05-16 14:15:00+05:30,1424.525024,2024-05-28 13:15:00+05:30,1462.525024,3800,-10302.53906
SELL,2024-05-28 13:15:00+05:30,1462.525024,2024-06-03 10:15:00+05:30,1490.849976,-2832.495117,-13135.03418
BUY,2024-06-03 10:15:00+05:30,1490.849976,2024-06-04 11:15:00+05:30,1376.175049,-11467.49268,-24602.52686
SELL,2024-06-04 11:15:00+05:30,1376.175049,2024-06-07 09:15:00+05:30,1441.175049,-6500,-31102.52686
BUY,2024-06-07 09:15:00+05:30,1441.175049,2024-06-19 13:15:00+05:30,1459.675049,1850,-29252.52686
SELL,2024-06-19 13:15:00+05:30,1459.675049,2024-06-20 12:15:00+05:30,1478.224976,-1854.992676,-31107.51953
BUY,2024-06-20 12:15:00+05:30,1478.224976,2024-06-21 09:15:00+05:30,1461.650024,-1657.495117,-32765.01465
SELL,2024-06-21 09:15:00+05:30,1461.650024,2024-06-26 10:15:00+05:30,1477.599976,-1594.995117,-34360.00977
BUY,2024-06-26 10:15:00+05:30,1477.599976,2024-07-10 11:15:00+05:30,1576.025024,9842.504883,-24517.50488
SELL,2024-07-10 11:15:00+05:30,1576.025024,2024-07-11 12:15:00+05:30,1602.849976,-2682.495117,-27200
BUY,2024-07-11 12:15:00+05:30,1602.849976,2024-07-16 12:15:00+05:30,1580.724976,-2212.5,-29412.5
SELL,2024-07-16 12:15:00+05:30,1580.724976,2024-07-26 13:15:00+05:30,1506.474976,7425,-21987.5
BUY,2024-07-26 13:15:00+05:30,1506.474976,2024-07-31 11:15:00+05:30,1506.675049,20.00732422,-21967.49268
SELL,2024-07-31 11:15:00+05:30,1506.675049,2024-08-01 14:15:00+05:30,1515.125,-844.9951172,-22812.48779
BUY,2024-08-01 14:15:00+05:30,1515.125,2024-08-02 10:15:00+05:30,1502.824951,-1230.004883,-24042.49268
SELL,2024-08-02 10:15:00+05:30,1502.824951,2024-08-09 12:15:00+05:30,1473.474976,2934.997559,-21107.49512
BUY,2024-08-09 12:15:00+05:30,1473.474976,2024-08-12 15:15:00+05:30,1460.625,-1284.997559,-22392.49268
SELL,2024-08-12 15:15:00+05:30,1460.625,2024-08-16 09:15:00+05:30,1470.775024,-1015.002441,-23407.49512
BUY,2024-08-16 09:15:00+05:30,1470.775024,2024-08-16 10:15:00+05:30,1459.425049,-1134.997559,-24542.49268
SELL,2024-08-16 10:15:00+05:30,1459.425049,2024-08-16 11:15:00+05:30,1472.900024,-1347.497559,-25889.99023
BUY,2024-08-16 11:15:00+05:30,1472.900024,2024-08-27 14:15:00+05:30,1500.224976,2732.495117,-23157.49512
SELL,2024-08-27 14:15:00+05:30,1500.224976,2024-08-29 13:15:00+05:30,1531.849976,-3162.5,-26319.99512
BUY,2024-08-29 13:15:00+05:30,1531.849976,2024-09-03 15:15:00+05:30,1509.125,-2272.497559,-28592.49268
SELL,2024-09-03 15:15:00+05:30,1509.125,2024-09-04 11:15:00+05:30,1514.800049,-567.5048828,-29159.99756
BUY,2024-09-04 11:15:00+05:30,1514.800049,2024-09-05 12:15:00+05:30,1507.400024,-740.0024414,-29900
SELL,2024-09-05 12:15:00+05:30,1507.400024,2024-09-12 15:15:00+05:30,1476.75,3065.002441,-26834.99756
BUY,2024-09-12 15:15:00+05:30,1476.75,2024-09-18 13:15:00+05:30,1463.224976,-1352.502441,-28187.5
SELL,2024-09-18 13:15:00+05:30,1463.224976,2024-09-20 09:15:00+05:30,1477.5,-1427.502441,-29615.00244
BUY,2024-09-20 09:15:00+05:30,1477.5,2024-09-30 12:15:00+05:30,1487.224976,972.4975586,-28642.50488
SELL,2024-09-30 12:15:00+05:30,1487.224976,2024-10-18 12:15:00+05:30,1363.474976,12375,-16267.50488
